Name;Leden;Regio;Onderwerpen;Type;Independent or not?;
Dev hearts Des;234;Amsterdam;Development;;;
Infi Developers Meetup;240;Utrecht;Development;;No;
EU Tech Meetup;259;Maastricht;Development;;;Inactive
Nijmegen Developers Meetup;260;Nijmegen;Development;;;https://www.meetup.com/Nijmegen-Developers-Meetup/
Amsterdam Open Code;261;Amsterdam;Development;;;
JavaScript Lab Amsterdam;264;Amsterdam;Javascript;;;
Food+tech Amsterdam;265;Amsterdam;Development;;;
Webdev Zwolle;351;Zwolle;Development;;No;
Blue Harvest Meetups;356;Amsterdam;Development;;No;
DEVdev - Deventer Developers;356;Deventer;Development;;;
AmsterdamTech.City;360;Amsterdam;Development;;;
AmsterdamJS;371;Amsterdam;Development;;;
Nodeschool Haarlem;376;Haarlem;Development;;;
Avisi Techdays & TostiTalks (Arnhem);384;Arnhem/Nijmegen;Development;;No;
GitHub Meetup Group BeNeLux;388;Amsterdam;Git;;;
Frontend Developer Meetup Amsterdam;401;Amsterdam;Development;;;
Amsterdam Creatives;405;Amsterdam;Development;;;
Nederlandse Frontend Developers;413;Amsterdam;Development;;No, organised by a recruitment party (The FrontendLab) ;
Hackers & Founders;432;Amsterdam;Development;;;
Amsterdam User Experience Designers;441;Amsterdam;UX;;;
Frontend Coding NL;447;Amsterdam;Development;;;
Honeypot Tech Talks Amsterdam;455;Amsterdam;Development;;;
040coders.nl;476;Eindhoven;Development;;;
Haarlem Software Development Meetup;513;Haarlem;Development;;;
Breda Development Meetup;518;Breda;Development;;;
TalentQrunch Tech Talks Amsterdam;519;Amsterdam;Development;;No, TalentQrunch is a recruitment company;
Amsterdam - Remote User Testing;530;Amsterdam;Development;;;
Creative Coding Utrecht;575;Utrecht;Development;Show and tell;;
Amsterdam Entrepreneurial Web Development;663;Amsterdam;Development;;;
DomCode;672;Utrecht;Development;;;
Schiphol Developers Group;707;Amsterdam;Development;;;
Amsterdam TechMeetups;895;Amsterdam;Development;;;
Eindhoven Developers Meetup;975;Eindhoven;Development;;;
bol.com Techlab;1010;Utrecht;Testing, Front-end;;No;https://www.meetup.com/bol-com-techlab/
Amsterdam Tech Runners;1179;Amsterdam;Development;Networking while working out;;
Frontend Developers Zuid-Holland;509;Rotterdam;Development;Kennissessies;No, organised by a recruitment party (The FrontendLab);
Role=Drinks;?;Netherlands;Development;;;https://www.roledrinks.com/
